epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,6700.28,0.81728,0.97965,0.00362,0.78431,0.78047,0.81188,0.6578,0.81823,0.83241,0.00441,0.001189,0.001189,0.001189
91,6789.68,0.76902,0.85648,0.00395,0.78292,0.79485,0.81796,0.6653,0.80979,0.81161,0.00435,0.00109,0.00109,0.00109
92,6858.22,0.75349,0.8486,0.00387,0.77641,0.76928,0.79853,0.63849,0.86845,0.87391,0.0047,0.000991,0.000991,0.000991
93,6926.41,0.74882,0.8318,0.00384,0.79464,0.79228,0.82335,0.67671,0.78641,0.79511,0.00422,0.000892,0.000892,0.000892
94,6994.43,0.74522,0.8231,0.00383,0.77547,0.76513,0.79619,0.63657,0.86557,0.88424,0.00469,0.000793,0.000793,0.000793
95,7062.55,0.74543,0.8161,0.00384,0.78233,0.78818,0.81656,0.66856,0.79708,0.81608,0.00428,0.000694,0.000694,0.000694
96,7131.07,0.74177,0.82357,0.00382,0.78423,0.77738,0.8073,0.65204,0.83198,0.84752,0.00449,0.000595,0.000595,0.000595
97,7199.73,0.73618,0.81129,0.00379,0.76934,0.7705,0.80136,0.64813,0.82889,0.87465,0.00447,0.000496,0.000496,0.000496
98,7268.12,0.73654,0.80999,0.00377,0.77479,0.77727,0.80544,0.64981,0.83507,0.85726,0.00451,0.000397,0.000397,0.000397
99,7336.5,0.73293,0.80482,0.00379,0.7798,0.78965,0.81689,0.66487,0.80674,0.8212,0.00434,0.000298,0.000298,0.000298
100,7404.71,0.73146,0.80617,0.00376,0.77837,0.7863,0.81204,0.66057,0.81024,0.83444,0.00437,0.000199,0.000199,0.000199
